"pf"	"scenario"	"active"	"CA_w_env"	"CA_day"	"response_func"	"weight_day"
"147"	"Parameters conspec-attraction 1129 10_06_2020 21_17.txt"	"conspec-attraction"	"False"	"True"	"True"	"response_type2"	10.5365196565809
"148"	"Parameters conspec-attraction 113 10_06_2020 21_13.txt"	"conspec-attraction"	"True"	"False"	"False"	"response_type2"	10.9836193705583
"149"	"Parameters conspec-attraction 1130 10_06_2020 21_17.txt"	"conspec-attraction"	"True"	"False"	"True"	"response_type2"	7.13866169823961
"150"	"Parameters conspec-attraction 1131 10_06_2020 21_17.txt"	"conspec-attraction"	"False"	"False"	"False"	"response_par"	9.42003016021659
"151"	"Parameters conspec-attraction 1132 10_06_2020 21_17.txt"	"conspec-attraction"	"False"	"False"	"False"	"response_type2"	10.5762437551433
"152"	"Parameters conspec-attraction 1133 10_06_2020 21_17.txt"	"conspec-attraction"	"True"	"False"	"True"	"response_type2"	9.88433167707731
"153"	"Parameters conspec-attraction 1134 10_06_2020 21_17.txt"	"conspec-attraction"	"True"	"False"	"False"	"response_type2"	5.53257799105997
"154"	"Parameters conspec-attraction 1135 10_06_2020 21_17.txt"	"conspec-attraction"	"False"	"False"	"False"	"response_type2"	9.15629701147804
"155"	"Parameters conspec-attraction 1136 10_06_2020 21_17.txt"	"conspec-attraction"	"False"	"True"	"False"	"response_type2"	0.540992513846392
"156"	"Parameters conspec-attraction 1137 10_06_2020 21_17.txt"	"conspec-attraction"	"False"	"False"	"True"	"response_par"	8.85542224386343
"157"	"Parameters conspec-attraction 1138 10_06_2020 21_17.txt"	"conspec-attraction"	"False"	"False"	"True"	"response_type2"	13.6214990676522
"158"	"Parameters conspec-attraction 1139 10_06_2020 21_17.txt"	"conspec-attraction"	"True"	"True"	"True"	"response_par"	10.8183714079959
"159"	"Parameters conspec-attraction 114 10_06_2020 21_13.txt"	"conspec-attraction"	"True"	"True"	"True"	"response_type2"	10.6995866483839
"160"	"Parameters conspec-attraction 1140 10_06_2020 21_17.txt"	"conspec-attraction"	"False"	"True"	"True"	"response_type2"	10.5640924257721
"161"	"Parameters conspec-attraction 1141 10_06_2020 21_17.txt"	"conspec-attraction"	"True"	"False"	"False"	"response_type2"	9.43393523147065
"162"	"Parameters conspec-attraction 1142 10_06_2020 21_17.txt"	"conspec-attraction"	"False"	"False"	"False"	"response_par"	5.50578758500948
"163"	"Parameters conspec-attraction 1143 10_06_2020 21_17.txt"	"conspec-attraction"	"True"	"False"	"False"	"response_par"	5.68078117330305
