"pf"	"scenario"	"active"	"CA_w_env"	"CA_day"	"response_func"	"choosers_on_followers"	"weight_day"
"132"	"Parameters CF 1115 21_04_2020 21_48.txt"	"CF"	"True"	"False"	"False"	"response_type2"	0.473160060650684	14.8534660638625
"133"	"Parameters CF 1116 21_04_2020 21_49.txt"	"CF"	"True"	"True"	"False"	"response_par"	0.649432900346571	10.6297184107832
"134"	"Parameters CF 1117 21_04_2020 21_49.txt"	"CF"	"True"	"False"	"False"	"response_type2"	0.551220868150678	10.7513512030291
"135"	"Parameters CF 1118 21_04_2020 21_49.txt"	"CF"	"True"	"False"	"False"	"response_type2"	0.565002817827511	5.75051086834089
"136"	"Parameters CF 1119 21_04_2020 21_49.txt"	"CF"	"False"	"True"	"True"	"response_type2"	0.546001314024876	9.86141841517847
"137"	"Parameters CF 112 21_04_2020 21_52.txt"	"CF"	"False"	"False"	"True"	"response_type2"	0.719678091862158	11.5320595612952
"138"	"Parameters CF 1120 21_04_2020 21_50.txt"	"CF"	"True"	"True"	"True"	"response_type2"	0.59828100945734	7.62675661890247
"139"	"Parameters CF 1121 21_04_2020 21_50.txt"	"CF"	"False"	"True"	"True"	"response_type2"	0.48606763494231	10.4060939687363
"140"	"Parameters CF 1122 21_04_2020 21_50.txt"	"CF"	"False"	"True"	"True"	"response_type2"	0.542106776922287	4.28536569444827
"141"	"Parameters CF 1123 21_04_2020 21_50.txt"	"CF"	"False"	"True"	"True"	"response_type2"	0.605150362552359	9.1152484256159
"142"	"Parameters CF 1124 21_04_2020 21_51.txt"	"CF"	"True"	"True"	"True"	"response_type2"	0.613971643656669	2.42783367132515
"143"	"Parameters CF 1125 21_04_2020 21_51.txt"	"CF"	"False"	"True"	"True"	"response_type2"	0.628868981497397	6.57196079516332
"144"	"Parameters CF 1126 21_04_2020 21_51.txt"	"CF"	"False"	"False"	"True"	"response_par"	0.731743873694973	11.5833300289055
"145"	"Parameters CF 1127 21_04_2020 21_52.txt"	"CF"	"True"	"False"	"False"	"response_par"	0.612701843478859	11.8986900450114
"146"	"Parameters CF 1128 21_04_2020 21_52.txt"	"CF"	"False"	"True"	"False"	"response_type2"	0.535131358146804	10.3379809214115
"147"	"Parameters CF 1129 21_04_2020 21_53.txt"	"CF"	"True"	"True"	"False"	"response_par"	0.559562581644155	9.62660222891372
"148"	"Parameters CF 113 21_04_2020 21_53.txt"	"CF"	"True"	"False"	"False"	"response_type2"	0.737935888026239	8.34111929721826
"149"	"Parameters CF 1130 21_04_2020 21_53.txt"	"CF"	"False"	"False"	"True"	"response_type2"	0.530708500379445	11.5264934218049
"150"	"Parameters CF 1131 21_04_2020 21_53.txt"	"CF"	"True"	"True"	"False"	"response_par"	0.476621120778196	13.7131079033239
"151"	"Parameters CF 1132 21_04_2020 21_53.txt"	"CF"	"True"	"False"	"False"	"response_type2"	0.679723103991271	11.6905877970521
"152"	"Parameters CF 1133 21_04_2020 21_54.txt"	"CF"	"True"	"True"	"True"	"response_type2"	0.720228439277712	12.5386853445594
"153"	"Parameters CF 1134 21_04_2020 21_54.txt"	"CF"	"True"	"False"	"True"	"response_par"	0.523059696046309	10.3357813313548
"154"	"Parameters CF 1135 21_04_2020 21_54.txt"	"CF"	"False"	"True"	"False"	"response_type2"	0.222141962668203	11.188028862453
"155"	"Parameters CF 1136 21_04_2020 21_54.txt"	"CF"	"False"	"True"	"False"	"response_type2"	0.564149234434465	10.3728828999283
"156"	"Parameters CF 1137 21_04_2020 21_55.txt"	"CF"	"False"	"False"	"False"	"response_type2"	0.644058420808483	4.71867580029204
"157"	"Parameters CF 1138 21_04_2020 21_55.txt"	"CF"	"True"	"False"	"True"	"response_type2"	0.649757342969204	5.74776866237066
"158"	"Parameters CF 1139 21_04_2020 21_55.txt"	"CF"	"True"	"False"	"True"	"response_par"	0.466087621649221	4.0811722589337
"159"	"Parameters CF 114 21_04_2020 21_53.txt"	"CF"	"True"	"False"	"True"	"response_par"	0.534981260045884	10.8279249080022
"160"	"Parameters CF 1140 21_04_2020 21_56.txt"	"CF"	"True"	"False"	"False"	"response_par"	0.741439735882537	10.4140835889584
"161"	"Parameters CF 1141 21_04_2020 21_56.txt"	"CF"	"False"	"False"	"False"	"response_par"	0.396431121955916	6.99006809092714
"162"	"Parameters CF 1142 21_04_2020 21_56.txt"	"CF"	"True"	"True"	"False"	"response_type2"	0.64222292053883	13.5822379163219
"163"	"Parameters CF 1143 21_04_2020 21_56.txt"	"CF"	"True"	"True"	"False"	"response_type2"	0.518545595281819	11.7424564175566
"164"	"Parameters CF 1144 21_04_2020 21_57.txt"	"CF"	"False"	"False"	"True"	"response_type2"	0.692623494414783	8.32986675932512
"165"	"Parameters CF 1145 21_04_2020 21_57.txt"	"CF"	"True"	"True"	"True"	"response_par"	0.435741789970947	9.44884138007104
"166"	"Parameters CF 1146 21_04_2020 21_57.txt"	"CF"	"True"	"False"	"False"	"response_type2"	0.65067900628517	13.1229925860184
"167"	"Parameters CF 1147 21_04_2020 21_57.txt"	"CF"	"False"	"True"	"True"	"response_par"	0.579904634987384	7.65436441093846
"168"	"Parameters CF 1148 21_04_2020 21_58.txt"	"CF"	"False"	"True"	"True"	"response_type2"	0.529140866266309	9.05848468018172
"169"	"Parameters CF 1149 21_04_2020 21_58.txt"	"CF"	"True"	"True"	"False"	"response_par"	0.644224673283466	13.111214635789
"170"	"Parameters CF 115 21_04_2020 21_53.txt"	"CF"	"True"	"True"	"True"	"response_par"	0.763507818572544	10.1069848351595
"171"	"Parameters CF 1150 21_04_2020 21_58.txt"	"CF"	"True"	"True"	"False"	"response_type2"	0.308363060705044	10.3426347054381
"172"	"Parameters CF 1151 21_04_2020 21_58.txt"	"CF"	"True"	"False"	"False"	"response_type2"	0.552813714128232	8.60939117909584
"173"	"Parameters CF 1152 21_04_2020 21_59.txt"	"CF"	"True"	"False"	"True"	"response_type2"	0.469059782216453	5.75825115449196
"174"	"Parameters CF 1153 21_04_2020 21_59.txt"	"CF"	"False"	"True"	"True"	"response_type2"	0.624358297067943	13.6949601084451
"175"	"Parameters CF 1154 21_04_2020 21_59.txt"	"CF"	"False"	"True"	"True"	"response_par"	0.700110970401269	12.7524976971404
"176"	"Parameters CF 1155 21_04_2020 21_59.txt"	"CF"	"False"	"True"	"False"	"response_type2"	0.53356512997787	11.5342475524607
"177"	"Parameters CF 1156 21_04_2020 22_00.txt"	"CF"	"True"	"True"	"True"	"response_type2"	0.67187345452775	4.44922697884243
"178"	"Parameters CF 1157 21_04_2020 22_00.txt"	"CF"	"True"	"True"	"True"	"response_par"	0.485618349450138	12.041741429797
"179"	"Parameters CF 1158 21_04_2020 22_00.txt"	"CF"	"False"	"True"	"True"	"response_type2"	0.492645164264548	7.08409607268607
"180"	"Parameters CF 1159 21_04_2020 22_01.txt"	"CF"	"False"	"True"	"False"	"response_par"	0.76038300604916	4.12430835558647
"181"	"Parameters CF 116 21_04_2020 21_54.txt"	"CF"	"True"	"True"	"True"	"response_type2"	0.485168039050679	5.36506876297199
"182"	"Parameters CF 1160 21_04_2020 22_01.txt"	"CF"	"False"	"True"	"True"	"response_type2"	0.545691511991783	4.64429756722864
"183"	"Parameters CF 1161 21_04_2020 22_01.txt"	"CF"	"True"	"False"	"True"	"response_par"	0.606093882063954	7.29323291635393
"184"	"Parameters CF 1162 21_04_2020 22_01.txt"	"CF"	"False"	"False"	"True"	"response_type2"	0.558731662000769	11.9552829840107
"185"	"Parameters CF 1163 21_04_2020 22_02.txt"	"CF"	"True"	"True"	"False"	"response_type2"	0.523135532447298	11.5777041573674
